Report, Date,Community Area
Vacant/Abandoned Building,4/28/2011,25
Vacant/Abandoned Building,4/28/2011,25
Vacant/Abandoned Building,4/29/2011,29
Vacant/Abandoned Building,4/29/2011,29
Vacant/Abandoned Building,4/29/2011,25
Vacant/Abandoned Building,4/29/2011,66
Vacant/Abandoned Building,4/30/2011,71
Vacant/Abandoned Building,4/30/2011,66
Vacant/Abandoned Building,5/1/2011,43
Vacant/Abandoned Building,5/2/2011,44
Vacant/Abandoned Building,5/2/2011,25
Vacant/Abandoned Building,5/3/2011,61
Vacant/Abandoned Building,5/3/2011,53
Vacant/Abandoned Building,5/3/2011,69
Vacant/Abandoned Building,5/3/2011,17
Vacant/Abandoned Building,5/3/2011,47
Vacant/Abandoned Building,5/3/2011,44
Vacant/Abandoned Building,5/3/2011,7
Vacant/Abandoned Building,5/3/2011,66
Vacant/Abandoned Building,5/3/2011,66
Vacant/Abandoned Building,5/3/2011,59
Vacant/Abandoned Building,5/3/2011,22
Vacant/Abandoned Building,5/3/2011,67
Vacant/Abandoned Building,5/4/2011,26
Vacant/Abandoned Building,5/4/2011,40
Vacant/Abandoned Building,5/4/2011,48
Vacant/Abandoned Building,5/5/2011,66
Vacant/Abandoned Building,5/5/2011,5
Vacant/Abandoned Building,5/6/2011,75
Vacant/Abandoned Building,5/6/2011,67
Vacant/Abandoned Building,5/6/2011,27
Vacant/Abandoned Building,5/6/2011,43
Vacant/Abandoned Building,5/7/2011,49
Vacant/Abandoned Building,5/8/2011,58
Vacant/Abandoned Building,5/9/2011,71
Vacant/Abandoned Building,5/9/2011,49
Vacant/Abandoned Building,5/9/2011,46
Vacant/Abandoned Building,5/9/2011,46
Vacant/Abandoned Building,5/9/2011,46
Vacant/Abandoned Building,5/9/2011,68
Vacant/Abandoned Building,5/10/2011,22
Vacant/Abandoned Building,5/11/2011,51
Vacant/Abandoned Building,5/11/2011,40
Vacant/Abandoned Building,5/11/2011,23
Vacant/Abandoned Building,5/11/2011,66
Vacant/Abandoned Building,5/11/2011,26
Vacant/Abandoned Building,5/11/2011,69
Vacant/Abandoned Building,5/12/2011,68
Vacant/Abandoned Building,5/12/2011,68
Vacant/Abandoned Building,5/12/2011,25
Vacant/Abandoned Building,5/12/2011,49
Vacant/Abandoned Building,5/12/2011,40
Vacant/Abandoned Building,5/12/2011,71
Vacant/Abandoned Building,5/12/2011,21
Vacant/Abandoned Building,5/12/2011,68
Vacant/Abandoned Building,5/13/2011,49
Vacant/Abandoned Building,5/13/2011,29
Vacant/Abandoned Building,5/13/2011,43
Vacant/Abandoned Building,5/14/2011,4
Vacant/Abandoned Building,5/15/2011,61
Vacant/Abandoned Building,5/16/2011,33
Vacant/Abandoned Building,5/16/2011,67
Vacant/Abandoned Building,5/16/2011,49
Vacant/Abandoned Building,5/16/2011,63
Vacant/Abandoned Building,5/16/2011,68
Vacant/Abandoned Building,5/16/2011,63
Vacant/Abandoned Building,5/17/2011,73
Vacant/Abandoned Building,5/17/2011,24
Vacant/Abandoned Building,5/17/2011,23
Vacant/Abandoned Building,5/17/2011,75
Vacant/Abandoned Building,5/17/2011,25
Vacant/Abandoned Building,5/18/2011,71
Vacant/Abandoned Building,5/18/2011,66
Vacant/Abandoned Building,5/18/2011,42
Vacant/Abandoned Building,5/18/2011,66
Vacant/Abandoned Building,5/18/2011,45
Vacant/Abandoned Building,5/18/2011,69
Vacant/Abandoned Building,5/19/2011,25
Vacant/Abandoned Building,5/19/2011,23
Vacant/Abandoned Building,5/19/2011,69
Vacant/Abandoned Building,5/19/2011,29
Vacant/Abandoned Building,5/19/2011,49
Vacant/Abandoned Building,5/19/2011,52
Vacant/Abandoned Building,5/19/2011,13
Vacant/Abandoned Building,5/19/2011,46
Vacant/Abandoned Building,5/19/2011,67
Vacant/Abandoned Building,5/19/2011,19
Vacant/Abandoned Building,5/20/2011,43
Vacant/Abandoned Building,5/20/2011,25
Vacant/Abandoned Building,5/20/2011,23
Vacant/Abandoned Building,5/20/2011,40
Vacant/Abandoned Building,5/20/2011,69
Vacant/Abandoned Building,5/20/2011,52
Vacant/Abandoned Building,5/20/2011,66
Vacant/Abandoned Building,5/20/2011,44
Vacant/Abandoned Building,5/21/2011,67
Vacant/Abandoned Building,5/21/2011,52
Vacant/Abandoned Building,5/21/2011,68
Vacant/Abandoned Building,5/21/2011,67
Vacant/Abandoned Building,5/21/2011,26
Vacant/Abandoned Building,5/21/2011,69
Vacant/Abandoned Building,5/22/2011,61
Vacant/Abandoned Building,5/22/2011,44
Vacant/Abandoned Building,5/22/2011,43
Vacant/Abandoned Building,5/23/2011,49
Vacant/Abandoned Building,5/23/2011,25
Vacant/Abandoned Building,5/23/2011,41
Vacant/Abandoned Building,5/23/2011,30
Vacant/Abandoned Building,5/23/2011,30
Vacant/Abandoned Building,5/23/2011,29
Vacant/Abandoned Building,5/23/2011,53
Vacant/Abandoned Building,5/23/2011,42
Vacant/Abandoned Building,5/24/2011,3
Vacant/Abandoned Building,5/24/2011,25
Vacant/Abandoned Building,5/24/2011,25
Vacant/Abandoned Building,5/24/2011,49
Vacant/Abandoned Building,5/24/2011,67
Vacant/Abandoned Building,5/24/2011,71
Vacant/Abandoned Building,5/24/2011,52
Vacant/Abandoned Building,5/24/2011,52
Vacant/Abandoned Building,5/24/2011,52
Vacant/Abandoned Building,5/24/2011,18
Vacant/Abandoned Building,5/25/2011,49
Vacant/Abandoned Building,5/25/2011,49
Vacant/Abandoned Building,5/25/2011,49
Vacant/Abandoned Building,5/25/2011,27
Vacant/Abandoned Building,5/25/2011,70
Vacant/Abandoned Building,5/25/2011,23
Vacant/Abandoned Building,5/25/2011,53
Vacant/Abandoned Building,5/25/2011,27
Vacant/Abandoned Building,5/25/2011,69
Vacant/Abandoned Building,5/25/2011,45
Vacant/Abandoned Building,5/26/2011,49
Vacant/Abandoned Building,5/26/2011,53
Vacant/Abandoned Building,5/26/2011,49
Vacant/Abandoned Building,5/26/2011,24
Vacant/Abandoned Building,5/27/2011,25
Vacant/Abandoned Building,5/27/2011,29
Vacant/Abandoned Building,5/27/2011,29
Vacant/Abandoned Building,5/28/2011,26
Vacant/Abandoned Building,5/28/2011,14
Vacant/Abandoned Building,5/30/2011,69
Vacant/Abandoned Building,5/30/2011,25
Vacant/Abandoned Building,5/31/2011,43
Vacant/Abandoned Building,5/31/2011,42
Vacant/Abandoned Building,5/31/2011,46
Vacant/Abandoned Building,5/31/2011,46
Vacant/Abandoned Building,5/31/2011,27
Vacant/Abandoned Building,5/31/2011,71
Vacant/Abandoned Building,6/1/2011,44
Vacant/Abandoned Building,6/1/2011,25
